id,category,title,description
N35373,news,"New iPad Pro 2019 release date, price, news and leaks","Apple is likely gearing up to release a new series of iPad Pro tablets, so this is what we know and what we want to see."
N126961,news,Trump mulls executive order to add citizenship question to census: report,"President Trump is considering an executive order to add a citizenship question to the 2020 census, Axios reported on Thursday.Senior administration officials told the news outlet that Trump is trying to find a workaround after a Supreme Court ruling that initially led the Department of Justice to drop the question from the census materials.""We didn't come this far just to throw in the towel,"" one senior administration official told Axios...."
N73751,lifestyle,Puppy That Was Going to Be Abandoned Because of His Crooked Jaw Gets a New Home With British Prime Minister,"Welcome to your new home, Dilyn!"
N25725,health,These Simple Diet Changes Helped This Guy Lose 75 Pounds in 9 Months,The part of me that knew I had to make changes took control.
N108072,sports,Swanson Suspended Indefinitely For Broken Hand,UFC Fight Night 161 medical suspensions bench Cub Swanson indefinitely following his unanimous decision victory over Kron Gracie last weekend in Tampa.
N57904,news,"Without help from US, UN climate fund struggles to meet goal","Rich countries gathered Thursday in France to discuss replenishing an international fund that is meant to help poor nations tackle climate change, but which is falling short of its targets because the U.S. has stopped contributing."
N1387,entertainment,Best PS4 games 2019: play great PlayStation 4 games,"These are the best PS4 games available today, from Sony's awesome exclusives to third-party must plays"
N35968,sports,Open thread: Is Sunday's game a must win for the Lions?,Yes or no?
N22632,health,The Biggest Mental and Physical Benefits of Working Out,"Exercise does your mind and body good almost instantly, research shows. Here's mega motivation to get stronger and healthier."
N16951,news,A Place to Call Home: These adventurous siblings are ready for a forever family,"Adventurous, fun and loving describe 13-year-old Ashiauna & 11-year-old Del Vyon. This brother and sister have lived in foster care for more than three years. They are ready for a family who will nurture their abilities and prepare them for their futures. This dynamic duo also has a little wish. They would love to spend the day together at an amusement park. RELATED: A Place to Call Home: 16-year-old Karissa deserves a supportive family If you..."
N120810,tv,The 23 Best TV Reboots of All Time,"These TV reboots are the best in their class. Find out which show revivals outshine the competition, or even steal the spotlight from their own originals."
N127985,news,Netflix hackers: Why they steal passwords,"Netflix accounts don't really offer the selling potential stolen Facebook accounts do, but they still tempt a subset of hackers."
N3018,health,How CrossFit injuries affect the shoulder,"Question: Does CrossFit put me at risk for injury to my shoulder? Answer: The popularity of CrossFit has grown immensely in recent years. While participation and its health benefits is a positive for most CrossFit athletes, it does place them at risk for shoulder injuries. The shoulder is a complex joint of different bony articulations and soft tissue structures that interact together as an ..."
N55720,finance,10 dental scams that can bite you hard,1
N58905,foodanddrink,20 Must-Try Gravy Recipes for Your Thanksgiving Feast,Turkey just isn't the same without it.
N128011,weather,"A little snow causes a big mess, more than 100 crashes on Minnesota roads","A snowfall of a mere one-tenth of an inch caused way more than its share of damaged cars and rattled drivers early Saturday, with 118 crashes reported between 6 a.m. and 11:30 a.m., according to the Minnesota State Patrol. Another 22 vehicles spun out or slid off the slick roads, said State Patrol spokesman Lt. Gordon Shank. No weather-related fatalities were reported. Although 18 people were ..."
N13709,news,Extinction Rebellion wins court challenge against London police,A blanket ban against the climate change activist's 10-day demonstrations across London in October was ruled unlawful.
N33970,tv,KMBC 9 Storytellers podcast takes you beyond the headlines,KMBC 9 Storytellers is a podcast from Haley Harrison where they go beyond the headlines. It's a deeper look at the stories of the people and events at the heart of the Kansas City metro area. [ Subscribe and listen on Apple Podcasts ] [ Subscribe and listen on SoundCloud ][ Subscribe and listen on iHeartRadio Podcasts ] [ Subscribe and listen on Castbox] READ MORE:KMBC 9 Storytellers podcast takes you beyond the headlines CHECK OUT KMBC:Get the...
N38405,lifestyle,What Is A Psychological Astrologer,"Most people want to be understood by others. For that to happen, we often have to understand ourselves first. In order to ""figure ourselves out,"" some of us turn to psychologists. Others go to astrologers. Then there are those who turn to psychological astrologers  a real-life hybrid of the two. Psychological astrologers such as Dr. Jennifer Freed, PhD, say that seeking this kind of help can give you a greater perspective on who you are, and..."
N129080,news,Body cam video shows the moments before an officer shoots a woman inside her home,Body camera video released by the Fort Worth Police Department shows officers called to investigate doors being left open at a home before opening fire on a woman inside her own home.
N96395,sports,"LA rivalry takes on new meaning for fans as Lakers, Clippers in hunt for NBA championship","NBA Finals MVP Kawhi Leonard and other Clippers say they are used to taunts and booing from Lakers fans, who are ""like a religion"" in Tinseltown."
N117941,news,The $400 JBL Link 500 smart speaker is on sale for $150,"Equipped with Bluetooth, Wi-Fi, Chromecast and Google Assistant, it's powerful enough for even your largest rooms."
N43403,video,Olympian Shawn Johnson shares big pregnancy news,"Shawn Johnson and her husband, Andrew East, have been taking viewers through the highs and lows of her pregnancy in a vlog that has captured the hearts of thousands online."
N13822,lifestyle,"Mom with schizophrenia, 6-year-old daughter missing in Queens",
N126443,lifestyle,What's your love language?,Lately it seems the world of dating and romance has been gravitating towards the topic of love languages.
N122146,health,A 15-minute morning workout routine you can do anywhere,Fall back into fitness with a 30-day workout that combines HIIT training and strength exercises to maximize efficiency and cut down on time.
N76450,lifestyle,5 Things You Probably Shouldn't Be Buying from Costco,"Bigger isn't always better, and some items sell for way cheaper at the supermarket than the warehouse."
N9204,lifestyle,Etiquette posters from the past century telling passengers how to behave on the London Underground go on display,Etiquette posters from the past century nudging Londoners to keep the city moving - and not annoy other passengers - have gone on display at one of the capital's main railway depots.
N80991,news,POWER RANKING: Here's who has the best chance of becoming the 2020 Democratic presidential nominee,We've combined Insider polling and results of Morning Consult's daily survey to create a weekly power ranking of the potential 2020 candidates.
N93054,lifestyle,20 Touching Cousin Quotes That Sum up Your Lifelong Friendship,Because cousins are best friends for life.
N58373,sports,ASK IRA: What's the next Heat step for Kendrick Nunn?,Q: I really like what Nunn brings to the table. They have to find minutes for him. -- Don. Q: Scoring 40 points in a preseason game is not anything to snort at. Kendrick Nunn is a legit player. -- Chadwick. Q: Is it too early to even get excited to think about Nunn becoming our starting point guard any time soon? He showed out magnificently. -- Rolando. A: It certainly will be interesting to ...
N56151,news,Today in History: November 2,
N33576,lifestyle,"25 Photos of the Royal Family at Balmoral Castle, Queen Elizabeth's Favorite Home",The royal family has been visiting the Scottish estate for more than a century.
N103042,travel,Memorial unveiled in honor of 7 killed in Randolph motorcycle crash,"The Jarheads Motorcycle Club gathered to unveil a new monument near the crash site where seven motorcycle riders lost their lives in June. The unveiling of the memorial depicting five motorcycles sparked memories, tears, hugs and a sense of gratitude for those grieving last summer's fatal motorcycle crash. ""I just wanna say thank you on behalf of the Jarheads, this means everything to us,"" said Jarheads Motorcycle Club president Manny Ribeiro...."
N110329,lifestyle,I'm Afraid to Tell My Male Bosses I'm Pregnant,"Women with children are considered less competent than those without. The longer I can pretend I'm one of the women without, the better."
N116735,foodanddrink,These Cranberry Sauce Recipes Are Perfect for Thanksgiving Dinner,You'll never want the store-bought version ever again.
N81976,sports,Phil Fulmer blasts NCAA after key Tennessee freshman denied eligibility,"Uros Plavsic, a redshirt freshman who transferred from Arizona State after a coaching change, will not be allowed to suit up for the Vols this season."
N115791,lifestyle,Prince George's Royal Life in Photos,"Photos of the future king of England  who is third in line for the throne, behind his father and Prince Charles."
N83188,sports,"Colts News: Chris Ballard on first half of season, rookie development, trade deadline",
N12731,autos,"2021 Kia Sorento Drops Heavy Camo, Heads To Nürburgring [UPDATE]","It's full-speed ahead at Kia for the next-gen SUV, literally and figuratively."
N56873,tv,Can you answer these real Jeopardy questions about TV shows?,"Culling data straight from the ""Jeopardy!"" archives, Stacker will provide a ""clue"" about TV shows and then present the answer in the form of a question on the following slide. Can you answer these real ""Jeopardy!"" questions about TV shows?"
N24595,sports,Randall's Rant: Is Tiger already the GOAT without 18 majors?,"We may never understand what Tiger Woods has gone through off the golf course, but even so, does that make him the GOAT without 18 majors?"
N35617,finance,The 25 most desirable places to live in the US in 2019,Check out where U.S. residents would live if they could.
N83764,sports,Stetson's Jalen Leary making big impact despite size,"DELAND -- Jalen Leary was one of the most gifted runners in Georgia during his time at Calvary Day, rushing for over 3,600 yards and 42 touchdowns during his career, earning Player of the Year honors twice, and leading the Cavaliers to a 39-8 record over his four seasons. But this time last fall, Leary had no plans to play in college. Despite the gaudy numbers and All-State accolades, the ..."
N120909,foodanddrink,40+ Stuffed Pasta Recipes You'll Want To Make Every Night,Stuff yourself.
N1846,lifestyle,13 Odd Questions You've Always Wanted to Ask Your Dog,Dogs do pretty weird stuff sometimes! Here are expert answers to some questions you've been begging to ask your dog.
N54026,health,This Stunning Weight-Loss Photo Will Inspire You to Curb Your Booze Consumption,"Now, a viral post by a Swedish Instagram influencer who calls herself ""Jelly Devote"" highlights what a difference easing up on the booze can make."
N46094,lifestyle,"How to Recharge, According to Your Zodiac Sign","Everyone has their own preferred tactics for recharging their batteries, and we've laid out a few quintessential ones according to your zodiac sign."
N107732,tv,Bachelor's Amanda Stanton Is Dating 'Rich Kids of Beverly Hills' Star Brendan Fitzpatrick,The mom of two opened up to ET about her dating life in August.
N13286,finance,Low Income Seniors At Risk Of Homelessness In Novato,More than 100 low income senior citizens living in affordable housing in Novato are worried they're being priced out.
N31493,health,"I'm Sorry, But Please Do Not Put Your Purse On My Couch","Welcome to my house, please drop your bag right there."
N26284,news,"East Hartford swimmer Chelsea Bailey has Down syndrome. She's also a blogger, singer and straight-A student.","Chelsea Bailey has Down syndrome. She is 18 years old but is often mistaken for a younger child (which annoys her) because she is small. When she entered high school, her mother Diane was a little nervous. ""I thought she would get eaten alive,"" Diane said. Four years later, Diane can laugh about this. Her daughter is a senior at East Hartford High. She's on the swim team, she's a member of the ..."
N11743,lifestyle,It's Not All About the Corgis - Here Are the Royal Family's Other Beloved Pets,We all know how much Queen Elizabeth loved her Corgis.
N35480,autos,"2020 Toyota Supra GT4 details announced, makes 429 horsepower",It goes on sale next year
N106490,lifestyle,21 Things No One Ever Tells You About Being a Step-Parent,Are you about to marry someone with kids from a previous partnership? Discover some of the surprising things no one tells you about being a step-parent.
N73263,travel,Tim Burton's Original Art Is on Display at the Neon Museum in Las Vegas,A rare retrospective dedicated to the filmmaker's eccentric style marks the first time in nearly a decade that his artworks have been on display in the United States.
N110516,movies,16 Live-Action Disney Movies in the Works After 'Maleficent: Mistress of Evil' (Photos),"The studio is raiding its vault to remake classics including ""Mulan"""
N116159,sports,Tracker: Ryan Blaney has now finished in every possible position,"With 36 races in a year and 40 available finishing positions on the track, it's practically inevitable a driver ends up finishing in every possible place at some point  you win some, you lose some, as they say. Quoth Ricky Bobby, ""If you ain't first, you're last."" Ryan Blaney joined the list at Kansas […]"
N10650,lifestyle,Can you really get banned from Amazon? Here's what you need to know,"Some people have, in fact, been banned from Amazon for excessive returns."
N46741,foodanddrink,100 Genius Tips that Will Make Your Holidays So Much Better,"From grocery shopping to cooking to using up the leftovers, we've assembled expert tips to help you through the holiday season."
N89260,lifestyle,10 Of The Best Horoscope Apps For People That Are Obsessed With The Stars,Find out if you and your bae are compatible.
N43508,sports,Matt Crafton likely to fill in for Paul Menard in relief role at Talladega,"TALLADEGA, Ala.  An ailing Paul Menard indicated Saturday that Gander Trucks veteran Matt Crafton will likely fill in for him in a relief role after the start of Sunday's Monster Energy Series race at Talladega Superspeedway. Menard, who is set to retire at season's end, said that he is still dealing with neck pain […]"
N115846,sports,To Catch a Free Agent Catcher,
N54286,music,Social Media says no to viral remix of the classic alphabet song,"The new take clarifies the ""LMNOP"" portion of the classic children`s song, and it changes the entire melody"
N125142,travel,What's new in Germany and the Low Countries for 2019,"Germany is famously a work in progress-- as are the nearby Low Countries-- and that includes their sightseeing attractions. In 2019, there's good news and a few important warnings for the smart traveler. To handle its ever-increasing number of visitors, Germany is busy renovating sights and..."
N104819,lifestyle,Millennials are killing purse sales and replacing them with backpacks,"Sales of women's backpacks are consistently rising, experts say."
N12905,news,Oklahoma AG Mike Hunter laid out plans for Marsy's Law week before it goes into effect,"A law that will empower victims of crime in Oklahoma goes into effect next week. State Question 794, which is also known as Marsy's Law, guarantees victims of their rights and allows them to be heard. On Tuesday, Oklahoma Attorney General Mike Hunter gave an update to how Marsy's Law will work, and he and other victims rights advocates spoke about the necessity for it. It has been about five years since Ben and Ky Crockett, of Stillwater, had to..."
N70182,health,This Guy Reined in His Diet to Lose 30 Pounds and Get Shredded,Greville Ingham's weight peaked at nearly 207 pounds. He committed to a rigorous workout plan and lost 30 pounds in 17 weeks.
N40895,autos,23 Things Car Dealerships Don't Want You To Know,"With these secrets, you can get the best deal."
N74585,sports,N'Kosi Perry set to start Saturday against Georgia Tech,"With Jarren Williams still recovering, Perry gets the nod"
N59956,sports,Locked On Suns Wednesday: Suns blast Kings to begin 2019-20 season,"What a way to begin the season for the Phoenix Suns, winning 124-95 over the Kings."
N13998,news,"watchOS 6.1 update release date, compatibility, news and features","watchOS 6.1 is out now, and here's everything you need to know about features and Apple Watch compatibility for the update."
N76098,entertainment,Best Xbox One games 2019: awesome Xbox games to play,These are the best Xbox One games to play today. Fill your collection with great Xbox games
N112099,travel,Delay in crane demolition leaves some disappointed,Saturday's scheduled implosion was delayed until Sunday.
N27552,foodanddrink,Hearty Pumpkin Pastas to Satisfy Your Comfort Food Cravings,Take your pumpkin obsession to delicious new heights.
N116074,finance,3 ways Halloween can pose an insurance risk,Do you need Halloween insurance?
N28677,tv,TV shows we're most excited about for the rest of the year,"From HBO originals like ""His Dark Materials"" to the new season of Netflix's ""The Crown,"" here are some of the shows we can't wait to watch."
N40542,sports,Sunday/vent open thread,Vent about the season-ending loss in today's open thread
N52012,autos,Suspect takes off on foot after car chase turned crash on Cleveland's east side,
N72564,news,The Democratic candidates who want to face Trump,"With Bill de Blasio's Sept. 19 decision to drop out of the presidential race, there are 19 Democratic candidates remaining in the field. They're vying for the right to challenge the Republican candidate  almost certainly President Trump."
N89205,lifestyle,The Absolute Best One-piece Bathing Suits of 2019,One-piece bathing suits are arguably the best kind you can wear them with jeans once summer is over. Here are the best and trendiest one-pieces to buy.
N13636,lifestyle,40 Things I Wish I Could Tell My Younger Self,"From celebrities to scientists, doctors to artists, we asked some very successful people to share what they wish they had known when they were younger. You and your kids get all the great advice no time machine needed! The post 40 Things I Wish I Could Tell My Younger Self appeared first on Reader's Digest."
N77389,autos,Why Is This Weird Chevy Colorado Test Mule Trolling Ford HQ?,"It could be a Bronco test vehicle wearing a Bow Tie disguise, but some things don't add up."
N37416,lifestyle,20 Words and Phrases You Had No Idea Were Coined in New York City,"Hey, youz! Check out all these vocab gems that were born in New York City! The post 20 Words and Phrases You Had No Idea Were Coined in New York City appeared first on Reader's Digest."
N108765,finance,"These VA, DC Universities Among Best In The World: U.S. News",New rankings from U.S. News & World Report evaluate the top universities in the world based on academic research and reputation.
N84064,sports,All of Kevin Harvick's Monster Energy Series victories,Recap all of Kevin Harvick's Monster Energy NASCAR Cup Series wins throughout his career in the sport's top series.
N66386,finance,Best places to retire on the East Coast,"This story looks at the 50 best places to retire on the East Coast. Along with analyzing data including population, age, income, household values, and rent, Stacker provides a glimpse at key facts about the area as well as things to do."
N101245,foodanddrink,PCC Community Markets Plans Its First Fast Casual Restaurant Inside New Ballard Store,The massive PCC outpost will open November 13
N113097,foodanddrink,"Where to Find a Good, Cheap Sandwich in Every State","Have a craving for a great sandwich? These 50 restaurants have you covered whether your favorites include classic subs, Mexican tortas, Vietnamese banh mi, or old-fashioned barbecue. Take a look at what's available in your state and check out the unique combinations diners are enjoying all across the country."
N60629,foodanddrink,16 major chains where you can buy plant-based versions of your fast-food favorites,Plant-based burgers are coming into the mainstream. Here are the chains where you can buy the Beyond Burger and the Impossible Burger.
N10493,lifestyle,"Do You Hate Meditating? So Do These People, But They Do It Anyway","We all know we should meditate; from mitigating chronic pain to easing the physical symptoms of anxiety, meditation has long been touted as a panacea for the people. In fact, meditation is the fastest-growing health trend in the U.S., and with new apps and retreats being introduced every day, it doesn't look like it's slowing"
N76727,finance,Millers Energy acquires longtime Hampton Roads competitor,"Norfolk-based Millers Energy has doubled the size of its customer base by buying longtime regional competitor, Johns Brothers Oil, Heating and Air Conditioning. ""We've admired the Johns Brothers leadership for years,"" said Jeff Miller, president of Millers Energy. ""Everyone agreed that the best way to serve our residential oil and heating and air conditioning customers would be to ..."
N50596,sports,So far the World Series is one big reminder that you can't predict October baseball,You only needed to stand by the exit of Minute Maid Park for a few minutes in the eighth inning of World Series Game 2 to know what Astros fans thought of the mauling that was still taking place.
N72989,entertainment,40 Celebrity Mothers and Daughters at the Same Age,These are some good genes.
N93442,music,The Bachelor Live' is making a stop in Milwaukee,"The ABC hit show ""The Bachelor"" is coming to Milwaukee! ""The Bachelor Live on Stage"" tour will make a stop at The Riverside Theater on March 15. Show favorite Ben Higgins, 30, will host the live show. He will be joined by Bachelorette Becca Kufrin. Audience members will have the opportunity to find love during the show. Each stage show will introduce an eligible hometown bachelor to ladies from the audience searching for a chance at love...."
N72396,video,UK's pre-Christmas election hopes to unwrap Brexit,The UK looks set for an election in December after opposition leader Jeremy Corbyn said the conditions needed for his backing had been met. David Doyle reports.
N1624,travel,"How one family's love of beer leads to Phoenix's newest brewery, Front Pourch",Front Pourch Brewing is now open in north Phoenix. The family-owned business has 5 beers on tap for Labor Day weekend including a pale ale and blond.
N103079,sports,Eagles fans rooting guide for Week 7,Here are the teams you should be rooting for ... and against.
N39191,foodanddrink,The Top 50 Fast Food Restaurants in America,Find out how your favorite fast food joint stacks up against the rest.
N11163,finance,"Take heart, millennials: Investing is within your reach",News headlines might lead you to believe that millennials are striking out on a growing list of financial accomplishments.
N95342,foodanddrink,West Hartford dentist buys back Halloween candy to donate to troops,"WEST HARTFORD, CT (WFSB)  It's safe to say that kids around the state got a lot of candy on Thursday night. A dentist in West Hartford is offering to buy it all back for a good cause. Trick-or-treaters will earn $2 per pound of unopened candy. Children can bring in up to three pounds. Elmwood Dental Group will then package up the candy and send it to the troops overseas. ""We are going to ship it out to the troops for Operation Gratitude, out to..."
N37599,news,Viral anti-Trump moment costs woman her job,"Juli Briskman, a Virginia woman who flipped the finger at President Trump's motorcade in 2017, lost her government contracting job due to the incident. On Nov. 5, Briskman won a seat on the Loudoun County Board of Supervisors  ousting a Republican."
N127358,lifestyle,These 6 Zodiac Signs Are Guilty Of Being Totally Selfish,Do you make our selfish ranking?
N46805,sports,Rose Lavelle surprises girls soccer players in Loveland,The third annual Rose Lavelle and Heather Mitts girls soccer camp will be December 23 in Cincinnati
N40210,video,Viral college football fan under fire for past offensive tweets,"Carson King, who held up a sign on television asking for ""beer money,"" has raised $2 million for a children's hospital. This comes as his past offensive tweets were revealed in a newspaper profile. NBC's Molly Hunter reports for Weekend TODAY."
N27367,lifestyle,"The Road Trip You Should Take, Based on Your Zodiac Sign",Let astrology be your guide before you plug a foreign destination into your GPS.
N129162,video,Watch this priest perform a 'spirited' dance at pep rally,"A priest in Fort Lauderdale, Florida, walked onto the scene as a cheer squad was performing a routine at a pep rally, and proceeded to give a whole new meaning to the term school spirit! TODAY's Hoda Kotb has your Morning Boost."
N121478,finance,Don't Be Like These Celebrities Convicted of Tax Evasion,These celebs were in hot water with the taxman.
N9144,lifestyle,The Ultimate Gift Registry Guide for Parents-to-Be,Add these to your registry - STAT! 👶🍼
N38714,sports,All eyes on Drew Brees as possibility of return nears,"Will this be the week Drew Brees returns as the Saints starting quarterback? ""That's the plan, we'll see,"" Brees responded when he was asked Wednesday about playing Sunday against the Arizona Cardinals. Brees had surgery to repair a ligament in his right thumb on Sept. 18. During Wednesday's walk-through practice Brees could be seen flexing his thumb, which was still in a brace. We will see what Brees' participation in the walk-through was after..."
N4542,foodanddrink,Restaurants to Satisfy Late Night Cravings in Louisville and Beyond,"Maybe you need a tasty meal to eat after a long night of drinking and having fun, or perhaps you work the late shift. Either way, a restaurant that's open 24 hours or close to it is what you need. Here are restaurants where you can get a bite late at night or very, very early. See what Louisville has for night owls."
N16588,foodanddrink,New York vs. Chicago: Which Destination is Best for Pizza?,New York City and Chicago abound with amazing pies but there can only be one pizza champion.
N110837,lifestyle,The Weirdest Animals You Can Legally Own In The US,"Exotic animals are fascinating, but owning something just because it's lovely or intriguing can be unwise. Sometimes, keeping exotic pets works out, but these animals are often taken out of their natural habitat, and it ends up hurting them. Depending on the animal and the area in which you live, you may legally be able to own a bizarre pet. But should you have them? Well, that's another ..."
N115329,lifestyle,8 Foundations That Actually Work For Acne-Prone Skin,
